,basket_icon_click,basket_add_list,basket_add_detail,sort_by,image_picker,account_page_click,promo_banner_click,detail_wishlist_add,list_size_dropdown,closed_minibasket_click,checked_delivery_detail,checked_returns_detail,sign_in,saw_checkout,saw_sizecharts,saw_delivery,saw_account_upgrade,saw_homepage,device_mobile,device_computer,device_tablet,returning_user,loc_uk,MCA0,MCA1,MCA2,MCA3,MCA4,MCA5,MCA6,MCA7,Cluster
239,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,-0.07900602502788921,0.25450882159921495,-0.2021001502510684,-0.058990010934129825,0.11030782091120891,-0.024724019559796306,0.0358342344948066,-0.18715265429739592,0
251,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,-0.07900602502788921,0.25450882159921495,-0.2021001502510684,-0.058990010934129825,0.11030782091120891,-0.024724019559796306,0.0358342344948066,-0.18715265429739592,0
331,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0.15057594457406256,-0.28896438713482453,-0.2803896207945614,0.21035593516394965,0.07021211384345344,-0.05087611481307608,0.0718399645854761,-0.17011327259616063,2
350,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,-0.012533155684445867,-0.2599313016859374,0.2703419072489105,-0.04020122973784576,0.113013421986801,-0.06748677623116059,-0.0023032027353332234,-0.004930361153133164,1
366,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,-0.012533155684445867,-0.2599313016859374,0.2703419072489105,-0.04020122973784576,0.113013421986801,-0.06748677623116059,-0.0023032027353332234,-0.004930361153133164,1
375,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1,-0.06858459988605586,0.4096493854875869,0.5800552248089125,-0.08467559569543993,0.08110188431555933,2.69327308969891e-05,-0.1399233466791336,-0.14137440528515918,0
402,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0.21614921225232137,-0.31705972275470895,0.18734771530616318,0.28993301250780085,0.16139019368858087,-0.15642777827738316,0.03176990771533004,0.013313430613273867,1
463,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,-0.21578412312943046,0.20865133519839,-0.28901626461550584,0.08976385913070199,-0.5394627297294903,0.0011139858346145143,0.04640862989213014,0.1536621197742149,3
465,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,-0.11778399992699914,0.09440649782171924,-0.10205007400193364,0.16015117226044903,-0.4638392120507131,0.11654180577651646,0.10578140033087885,-0.23334426639728265,3
486,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0.15057594457406256,-0.28896438713482453,-0.2803896207945614,0.21035593516394965,0.07021211384345344,-0.05087611481307608,0.0718399645854761,-0.17011327259616063,2
554,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,-0.08249359349812119,0.5820447222379207,0.14306704043416288,-0.018965630694524165,0.19602566182485925,-0.1265421032224733,-0.008451015732444925,0.071224478844401,0
568,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,-0.15505034576586166,-0.29441191865965743,0.1930558028328457,-0.3064498825329553,-0.18603471977054659,0.01925393790786184,-0.22193093979151082,0.060746369773913976,1
590,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,-0.13188208557544484,0.10496398100960311,-0.08241259158217093,0.29931803116510375,-0.43600309098505824,-0.010912037942933148,0.14084293173552118,0.03388273401843899,3
592,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,-0.17700614823032051,0.3687536589758857,-0.38906634086464065,-0.12937732406387686,0.034684303232431685,-0.14015183950169827,-0.0235385359439421,0.19985373187410163,0
630,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0.10159700940837049,-0.2532957792814821,-0.31225897683888054,-0.055471693061396335,-0.033703469218176435,-0.009861088764047087,-0.06173755290065749,-0.18057339225333122,2
706,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,-0.05768461683775299,-0.3460367080818644,0.43807053716805955,-0.11923681745827848,-0.051062037446117814,0.04106022739480693,-0.14031708449010757,-0.09345062572432136,1
722,1,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0.27327043277200397,0.914492640620479,0.10878947863315698,-0.5569631021577669,-0.08999480508888547,0.2256052478675038,-0.06890960024949419,0.3472635557486357,0
819,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0.1328815689726584,-0.27599241652038586,-0.0773045014488133,-0.03644691147153066,-0.0014186097015028182,-0.05078022404487863,-0.08490547899071552,-0.09971657430421238,2
853,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0.1764716356880269,0.009182741133063355,0.28269307015604367,0.5698624918499469,-0.32428436050380577,-0.07795085973401321,0.09978445391139606,-0.031673771421441135,3
873,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,-0.06880506476130709,0.05873788996837688,-0.07018071795761449,0.425978800485795,-0.35992362898908326,0.07552677972748745,0.23935891781701246,-0.22288414674011203,3
900,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0.06577430535489244,0.30106775471923036,-0.4916980152271506,0.061590059277114986,0.055224953868556685,-0.10163899782847124,-0.0245269568979211,-0.04912947677521296,0
926,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0.1764716356880269,0.009182741133063355,0.28269307015604367,0.5698624918499469,-0.32428436050380577,-0.07795085973401321,0.09978445391139606,-0.031673771421441135,3
927,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0.06667390702007694,-0.18527703294603756,-0.48699329382789625,0.0008017631295478779,-0.03324752490097868,-0.03885009103552844,-0.02259433725791489,-0.05033388684038471,2
975,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0.21952204307060305,0.5526761227263721,0.38105131765547906,-0.5912095076801166,0.34148526356292136,0.7865433025826215,0.7556076077339368,-0.27762524359061286,0
991,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,-0.15505034576586166,-0.29441191865965743,0.1930558028328457,-0.3064498825329553,-0.18603471977054659,0.01925393790786184,-0.22193093979151082,0.060746369773913976,1
1009,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,-0.06245394538636956,0.3049897155026589,0.11054035128040328,0.2160273815053205,0.22977796613918897,-0.2867185290150343,0.06996892467204546,0.39374055474070674,0
1062,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,-0.176106546565136,-0.11759112868938222,-0.3843616194653863,-0.19016562021144395,-0.053788175537103675,-0.07736293270875544,-0.021605916303935883,0.19864932180892989,2
1135,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0.0979584665843649,-0.20797367018494126,-0.25203881843782905,0.019826544719413565,-0.0009626653843050644,-0.07976922631636,-0.045762263347972905,0.030522931108734153,2
1197,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,-0.06245394538636956,0.3049897155026589,0.11054035128040328,0.2160273815053205,0.22977796613918897,-0.2867185290150343,0.06996892467204546,0.39374055474070674,0
1213,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,-0.04835585973792388,0.29443223231477506,0.09090286886064053,0.07686052260066557,0.2019418450735341,-0.15926468529558468,0.03490739326740314,0.12651355432498507,0
1228,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0.09320399240836397,0.05025004736738643,0.018040853401067137,0.2434825678706153,-0.48709316389388946,0.027696694498491325,-0.016890932794649476,-0.1447037763389274,3
1251,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,-0.6341830166366392,-0.297025310909606,0.4174958002187287,-0.2689506117180183,-0.20207566668629356,0.17330789071817643,0.5106998913488806,0.4792934439535431,1
1275,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,-0.1699747932400743,0.12538258610840242,-0.4048573784151482,-0.21655821411761644,0.11435146758436614,-0.13457481181112302,-0.03683318595175462,0.20981787090856244,2
1288,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,-0.14572158866603255,0.346057021736982,-0.1541118654745733,-0.11035254247401118,0.06696916274910532,-0.18107097478252984,-0.04670646203400011,0.2807105498232205,0
1331,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,-0.6389561443150059,-0.3300087110157921,-0.29229829654582806,-0.35834205283864035,0.18928904962220383,0.2522554233474775,0.633709253755007,0.20436242839875832,2
1343,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,-0.21578412312943046,0.20865133519839,-0.28901626461550584,0.08976385913070199,-0.5394627297294903,0.0011139858346145143,0.04640862989213014,0.1536621197742149,3
1356,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,-0.14118344417684245,-0.1856098750248268,-0.20962730247637054,-0.24643907640238819,-0.054244119854301436,-0.04837393043727409,-0.06074913194667847,0.06840981639598338,2
1379,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0.16717027708662935,-0.2813911149013666,0.155478359261844,0.02410538428245483,0.05747461062695101,-0.11541275222835418,-0.10180760977080353,0.002853310956103267,1
1413,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,-0.046821863798416775,-0.2545326033049567,0.037559046538253156,-0.10075352549183124,0.05412020165834717,-0.002854248047685054,0.014598928044754803,-0.1075002464134488,1
1415,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,-0.10989888461255451,-0.20830651226373045,0.025327172913696728,-0.22741429481252248,-0.021959260337627812,-0.08929306571810565,-0.08391705803673649,0.14926663434510223,1
1446,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0.10542448342075543,-0.3750697935307515,-0.11266099087541237,0.131320347443517,-0.09386334558946537,0.057670888812891404,-0.06617391716929828,-0.2586335371673488,2
1505,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0.14967634290887805,0.1973804005304435,-0.2850943421938158,0.2711442313115167,0.15868459261298878,-0.11366502160601888,0.0699073449454699,-0.16890886253098888,0
1518,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0.11565284218576902,-0.22094564079937992,-0.4551239377835771,0.26662939135489383,0.07066805816065119,-0.07986511708455744,0.11098318022821868,-0.0398737671832141,2
1541,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0.002363443191282376,0.3304701549773865,-0.23529097810389482,-0.2529020276444287,0.02237593319709668,0.30195700870821146,0.515756039927421,-0.32451512582826947,0
1549,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,-0.07810642336270471,-0.231835966066053,-0.1973954288518141,-0.11977830708169694,0.021835342141673545,0.03806488723314651,0.03776685413481282,-0.18835706436256763,2
1557,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,-0.11678230161209216,0.5874434206189014,-0.08971582027649454,-0.07951792644850966,0.13713244149640544,-0.061909575038997786,0.008451115047643112,-0.031345406415914566,0
1569,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,-0.05768461683775299,-0.3460367080818644,0.43807053716805955,-0.11923681745827848,-0.051062037446117814,0.04106022739480693,-0.14031708449010757,-0.09345062572432136,1
1589,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0.06667390702007694,-0.18527703294603756,-0.48699329382789625,0.0008017631295478779,-0.03324752490097868,-0.03885009103552844,-0.02259433725791489,-0.05033388684038471,2
1614,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0.19178576128753969,0.34014276019081213,0.4517153665437156,0.10327176200073006,0.6388924346186696,0.21192642349743296,-0.10220474485111213,-0.6379447654580476,0
1617,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0.008288824692337006,-0.047227496360514425,0.04893264363281042,0.13868150882734226,0.3261754278414468,-0.10108115319908163,0.13294917588306965,-0.08587157765664565,1
1618,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,-0.4284268329648867,0.5393082489183686,-0.3656649745456358,0.683264879201365,0.6189980708468514,1.3278292627518389,-0.37272430734195994,0.3876714212409827,0
1631,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0.6802824070723336,0.6781074917154734,-0.2676830760188758,-0.2556195816268788,0.27877630271346227,0.35647719166537933,-0.18727834043018604,-0.001737713809343324,0
1641,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,-0.012533155684445867,-0.2599313016859374,0.2703419072489105,-0.04020122973784576,0.113013421986801,-0.06748677623116059,-0.0023032027353332234,-0.004930361153133164,1
1650,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,-0.18449956356514247,0.1859546979594863,-0.054061789225438535,0.1087886407205677,-0.5071778702128167,-0.03980514944621706,0.023240703802072136,0.23451893772333374,3
1656,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0.15057594457406256,-0.28896438713482453,-0.2803896207945614,0.21035593516394965,0.07021211384345344,-0.05087611481307608,0.0718399645854761,-0.17011327259616063,2
1668,1,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,-0.018518905030399428,-0.319121235182459,0.32993208392771123,-0.3419445923205566,-0.08760121803912548,0.31783290898092587,-0.3779020753015306,-0.4185201918136334,1
1677,1,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,-0.11276674106401814,0.8792054829861948,0.10916596420831375,-0.469859487043032,0.09435765839414699,0.15545551037457078,-0.3582009247270635,-0.2573027194744349,0
1698,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0.038519988594232765,-0.2070696882402559,-0.324490850463437,-0.18213246238208758,-0.10978293121415142,-0.09629990643446767,-0.16025353898214878,0.0761934885052198,2
1699,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,-0.08484080002006916,0.4775326796448582,0.142437058711912,-0.39600723105804486,-0.037329782034938586,0.328685719541926,-0.40002517785132685,-0.5534616751781647,0
1725,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,-0.11314375878808655,0.5421213115223605,-0.14993597867754607,-0.15481616422931965,0.10439163766253408,0.00799856251331513,-0.007524174505041469,-0.24244172977797998,0
1736,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,-0.001157587970061668,0.11917277564751634,-0.22914549561355657,0.09779701696005837,-0.595457485406538,-0.01782298789109773,-0.09223899278608275,0.031206286470504795,3
1749,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0.06667390702007694,-0.18527703294603756,-0.48699329382789625,0.0008017631295478779,-0.03324752490097868,-0.03885009103552844,-0.02259433725791489,-0.05033388684038471,2
1763,1,0,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,-0.17981614605163382,0.9539299923408919,0.42579315973262094,-0.7090533361837658,0.09424944155655836,0.48914337935894064,0.19805736165096335,-0.321592045165426,0
1786,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,-0.1997444650281195,0.48217982784959706,-0.44865916648838305,1.013399121447012,0.6673748425486312,1.2388882607056162,-0.3386511968912967,0.40591521300738964,0
1802,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,-0.046821863798416775,-0.2545326033049567,0.037559046538253156,-0.10075352549183124,0.05412020165834717,-0.002854248047685054,0.014598928044754803,-0.1075002464134488,1
1803,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0.1812261098640279,-0.24904097641926434,0.01261339831714754,0.34620646869874516,0.16184613800577863,-0.1854167805488645,0.07091312335807266,0.14355293602622035,1
1817,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,-0.07810642336270471,-0.231835966066053,-0.1973954288518141,-0.11977830708169694,0.021835342141673545,0.03806488723314651,0.03776685413481282,-0.18835706436256763,2
1823,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0.03644577948124617,-0.29559990953927984,0.30221126329322967,0.22562639848750032,0.21692900504843088,-0.10850180228018957,0.1312743147508003,0.005529758504037449,1
1838,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,-0.14957646117684897,0.11793595162404179,0.12067252776357719,0.05251518452962347,-0.5076338145300144,-0.010816147174735696,-0.015902511840670458,0.10427943231038722,3
1852,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0.31830814958050413,-0.12880594287211797,-0.08535938058121818,-0.4956981706254156,-0.21624254360188777,0.23391596045830237,-0.025944929060620108,0.4504764107900576,2
1893,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,-0.013432757349630375,0.2264134859793306,0.2656371858496561,0.02058706640972135,0.20148590075633635,-0.1302756830241034,-0.004235822375339449,-0.003725951087961418,0
1904,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0.10069740774318599,0.2330490083837858,-0.3169636982381349,0.005316603086170763,0.05476900955135893,-0.0726499955569899,-0.0636701725406637,-0.1793689821881595,0
1913,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0.003596886205939207,-0.13905094190481135,-0.4992251674524527,-0.12585900619114337,-0.10932698689695367,-0.12528890870594903,-0.12111032333940618,0.2064329939181663,2
1995,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,-0.026631241332891565,-0.2493738184980536,0.2899793896686732,0.09896562916680905,0.1408495430524559,-0.19494061995061018,0.03275832866930904,0.2622966392625885,1
2027,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0.9440443633055298,-0.19588582861169765,-0.2749092396109573,-0.35171542555455454,0.11238913044989916,0.4950603863789482,-0.315696465873187,-0.3373358821133627,2
2078,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0.21614921225232137,-0.31705972275470895,0.18734771530616318,0.28993301250780085,0.16139019368858087,-0.15642777827738316,0.03176990771533004,0.013313430613273867,1
2141,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,-0.14118344417684245,-0.1856098750248268,-0.20962730247637054,-0.24643907640238819,-0.054244119854301436,-0.04837393043727409,-0.06074913194667847,0.06840981639598338,2
2142,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0.241985873207716,0.9371892778593827,-0.12616499675691026,-0.5759878837476327,-0.12227966460555909,0.2665243831483354,-0.045741674159436155,0.2664067377995169,0
2143,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0.31506327540497214,0.6216218809139731,-0.260622532172461,-0.42310004004221274,-0.08989164560172587,0.3312075886897231,0.05044795447107491,0.058768046666975444,0
2157,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,-0.026631241332891565,-0.2493738184980536,0.2899793896686732,0.09896562916680905,0.1408495430524559,-0.19494061995061018,0.03275832866930904,0.2622966392625885,1
2221,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,-0.02912748819701265,-0.26750457391939536,-0.16552607280749496,0.14604932114364905,0.12575092520330342,-0.0029501388158825054,0.17134437162094643,-0.17789694470539705,2
2245,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,-0.12778438131011752,0.36374780372590254,0.04463933503817353,0.13392409787572043,-0.4201477690585713,0.13829741790554934,0.10810775778185905,-0.28247245602329224,3
2254,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0.03644577948124617,-0.29559990953927984,0.30221126329322967,0.22562639848750032,0.21692900504843088,-0.10850180228018957,0.1312743147508003,0.005529758504037449,1
2311,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0.12749270052233488,0.04485134898640569,0.2508237141117245,0.3040348636246008,-0.42819994356543567,-0.03693583368498422,-0.0337930635747375,-0.04213389107861175,3
2313,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0.21614921225232137,-0.31705972275470895,0.18734771530616318,0.28993301250780085,0.16139019368858087,-0.15642777827738316,0.03176990771533004,0.013313430613273867,1
2314,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0.241872128862909,-0.19221471202914123,-0.15258522605213642,-0.593758539935714,-0.41260286255148027,0.3833820993651014,-0.14079088472533646,0.2810993282697506,2
2347,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,-0.08185919922379858,0.5194246742834568,0.08501849671252118,-0.13579138263945395,0.13667649717920768,-0.032920572767516434,-0.030692100595099504,-0.1615849118288611,0
2371,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,-0.026631241332891565,-0.2493738184980536,0.2899793896686732,0.09896562916680905,0.1408495430524559,-0.19494061995061018,0.03275832866930904,0.2622966392625885,1
2383,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,-0.012020341009397872,0.02766867087060869,0.17136599501624983,0.07931372499361115,-0.700639724511003,0.026091487551394274,-0.24715500532094511,0.04525590715963223,3
2393,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,-0.14208304584202697,0.30073491264044117,-0.21433202387562483,-0.18565078025482107,0.03422835891523392,-0.1111628372302169,-0.0626817515866847,0.06961422646115512,0
2415,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,-0.07810642336270471,-0.231835966066053,-0.1973954288518141,-0.11977830708169694,0.021835342141673545,0.03806488723314651,0.03776685413481282,-0.18835706436256763,2
2421,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0.1220188159333222,-0.36749652129729354,0.3232069891809931,-0.05493020343797786,-0.10660084880596778,-0.006865748602386666,-0.2398214915255779,-0.08566695361508496,1
2427,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,1,-0.16293546108030632,0.008301091425792296,0.0656785559172154,0.08111558454001624,-0.6279146714836319,0.22508880940248394,-0.032232481423895516,-0.32186453096847084,3
2439,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,-0.07561017649858359,-0.2137052106447112,0.25811003362435403,-0.16686199905853702,0.03693395999082601,-0.1539255939015812,-0.10081918881682451,0.25183651960541786,1
2490,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,-0.05757087249294605,0.7833672818066595,0.46449076646328563,-0.10146616127019702,0.2392611604998033,-0.0757974888219591,-0.04526787392420733,-0.10814321619455505,0
2499,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0.10409325627249162,-0.23516502386014035,0.14324648563728756,-0.10255538503823643,-0.01860485136902398,-0.20185156989877479,-0.2003235958522948,0.2596201917146543,1
2541,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,-0.07810642336270471,-0.231835966066053,-0.1973954288518141,-0.11977830708169694,0.021835342141673545,0.03806488723314651,0.03776685413481282,-0.18835706436256763,2
